"SKU","Item","Price","QuantityNeeded","SellQuantity"
"41615","10th Edition - Abundance","$1.78","10",""
"20685","10th Edition - Abundance (foil)","$14.44","8",""
"63696","10th Edition - Abundance (played)","$1.47","11",""
"20686","10th Edition - Academy Researchers (foil)","$1.33","6",""
"63697","10th Edition - Academy Researchers (played)","$0.16","9",""
"41617","10th Edition - Adarkar Wastes","$3.05","11",""
"20687","10th Edition - Adarkar Wastes (foil)","$10.17","8",""
"63698","10th Edition - Adarkar Wastes (played)","$2.51","10",""
"20688","10th Edition - Afflict (foil)","$0.22","7",""
"20689","10th Edition - Aggressive Urge (foil)","$0.23","8",""
"20690","10th Edition - Agonizing Memories (foil)","$0.39","3",""
"20691","10th Edition - Air Elemental (foil)","$0.36","8",""
"41622","10th Edition - Ambassador Laquatus","$0.66","2",""
"20692","10th Edition - Ambassador Laquatus (foil)","$2.97","8",""
"63703","10th Edition - Ambassador Laquatus (played)","$0.62","7",""
"20693","10th Edition - Anaba Bodyguard (foil)","$0.24","7",""
"63704","10th Edition - Anaba Bodyguard (played)","$0.04","2",""
"63705","10th Edition - Ancestor’s Chosen (played)","$0.57","0",""
"20695","10th Edition - Angel of Mercy (foil)","$2.38","8",""
"63706","10th Edition - Angel of Mercy (played)","$0.10","3",""
"20697","10th Edition - Angelic Blessing (foil)","$0.23","7",""
"41628","10th Edition - Angelic Chorus","$3.12","9",""
"20698","10th Edition - Angelic Chorus (foil)","$5.29","8",""
"63709","10th Edition - Angelic Chorus (played)","$2.95","12",""
"41629","10th Edition - Angelic Wall","$0.11","11",""
"20699","10th Edition - Angelic Wall (foil)","$0.47","8",""
"41626","10th Edition - Angel's Feather","$0.09","2",""
"20696","10th Edition - Angel's Feather (foil)","$0.42","8",""
"63707","10th Edition - Angel's Feather (played)","$0.07","2",""
"20700","10th Edition - Arcane Teachings (foil)","$0.52","8",""
"63711","10th Edition - Arcane Teachings (played)","$0.10","4",""
"41631","10th Edition - Arcanis the Omnipotent","$4.11","5",""
"20701","10th Edition - Arcanis the Omnipotent (foil)","$14.31","8",""
"63712","10th Edition - Arcanis the Omnipotent (played)","$3.88","8",""
"41632","10th Edition - Ascendant Evincar","$0.99","12",""
"20702","10th Edition - Ascendant Evincar (foil)","$4.90","5",""
"63713","10th Edition - Ascendant Evincar (played)","$0.74","12",""
"20703","10th Edition - Assassinate (foil)","$0.25","7",""
"20704","10th Edition - Aura Graft (foil)","$0.36","3",""
"41635","10th Edition - Aura of Silence","$1.68","11",""
"20705","10th Edition - Aura of Silence (foil)","$7.26","8",""
"63716","10th Edition - Aura of Silence (played)","$1.40","12",""
"41636","10th Edition - Avatar of Might","$0.69","12",""
"20706","10th Edition - Avatar of Might (foil)","$2.05","7",""
"63717","10th Edition - Avatar of Might (played)","$0.52","12",""
"20707","10th Edition - Aven Cloudchaser (foil)","$0.23","8",""
"20708","10th Edition - Aven Fisher (foil)","$0.23","7",""
"20709","10th Edition - Aven Windreader (foil)","$0.26","7",""
"20710","10th Edition - Ballista Squad (foil)","$0.34","4",""
"20711","10th Edition - Bandage (foil)","$0.21","3",""
"41642","10th Edition - Battlefield Forge","$5.00","9",""
"20712","10th Edition - Battlefield Forge (foil)","$10.50","8",""
"63723","10th Edition - Battlefield Forge (played)","$4.66","12",""
"20713","10th Edition - Beacon of Destruction (foil)","$2.47","7",""
"63724","10th Edition - Beacon of Destruction (played)","$0.22","2",""
"41644","10th Edition - Beacon of Immortality","$4.66","7",""
"20714","10th Edition - Beacon of Immortality (foil)","$6.36","8",""
"63725","10th Edition - Beacon of Immortality (played)","$3.69","5",""
"41645","10th Edition - Beacon of Unrest","$4.03","12",""
"20715","10th Edition - Beacon of Unrest (foil)","$12.22","8",""
"63726","10th Edition - Beacon of Unrest (played)","$3.43","12",""
"20716","10th Edition - Benalish Knight (foil)","$0.49","7",""
"41647","10th Edition - Birds of Paradise","$3.67","10",""
"20717","10th Edition - Birds of Paradise (foil)","$9.22","8",""
"63728","10th Edition - Birds of Paradise (played)","$3.02","9",""
"41648","10th Edition - Blanchwood Armor","$0.69","13",""
"20718","10th Edition - Blanchwood Armor (foil)","$2.27","8",""
"63729","10th Edition - Blanchwood Armor (played)","$0.56","17",""
"41649","10th Edition - Blaze","$0.27","15",""
"20719","10th Edition - Blaze (foil)","$1.15","8",""
"63730","10th Edition - Blaze (played)","$0.17","11",""
"41650","10th Edition - Bloodfire Colossus","$0.14","1",""
"20720","10th Edition - Bloodfire Colossus (foil)","$1.68","3",""
"20721","10th Edition - Bloodrock Cyclops (foil)","$0.20","5",""
"20722","10th Edition - Bog Wraith (foil)","$0.36","7",""
"63733","10th Edition - Bog Wraith (played)","$0.08","5",""
"20723","10th Edition - Bogardan Firefiend (foil)","$0.22","5",""
"41654","10th Edition - Boomerang","$0.26","18",""
"20724","10th Edition - Boomerang (foil)","$1.22","7",""
"63735","10th Edition - Boomerang (played)","$0.16","13",""
"20725","10th Edition - Bottle Gnomes (foil)","$0.69","3",""
"20726","10th Edition - Brushland (foil)","$5.89","8",""
"63737","10th Edition - Brushland (played)","$1.48","8",""
"20727","10th Edition - Cancel (foil)","$0.56","8",""
"20728","10th Edition - Canopy Spider (foil)","$0.31","7",""
"41659","10th Edition - Caves of Koilos","$2.94","10",""
"20729","10th Edition - Caves of Koilos (foil)","$6.84","7",""
"63740","10th Edition - Caves of Koilos (played)","$2.68","12",""
"41660","10th Edition - Cephalid Constable","$0.46","10",""
"20730","10th Edition - Cephalid Constable (foil)","$2.35","3",""
"63741","10th Edition - Cephalid Constable (played)","$0.26","5",""
"20731","10th Edition - Chimeric Staff (foil)","$1.14","4",""
"41662","10th Edition - Cho-Manno, Revolutionary","$0.64","11",""
"20732","10th Edition - Cho-Manno, Revolutionary (foil)","$3.07","6",""
"63743","10th Edition - Cho-Manno, Revolutionary (played)","$0.42","8",""
"20733","10th Edition - Chromatic Star (foil)","$6.83","8",""
"63744","10th Edition - Chromatic Star (played)","$1.14","12",""
"41664","10th Edition - Citanul Flute","$0.77","3",""
"20734","10th Edition - Citanul Flute (foil)","$4.28","7",""
"63745","10th Edition - Citanul Flute (played)","$0.69","7",""
"41665","10th Edition - Civic Wayfinder","$0.09","8",""
"20735","10th Edition - Civic Wayfinder (foil)","$0.67","4",""
"41666","10th Edition - Clone","$0.71","11",""
"20736","10th Edition - Clone (foil)","$1.85","8",""
"63747","10th Edition - Clone (played)","$0.56","12",""
"20737","10th Edition - Cloud Elemental (foil)","$0.22","7",""
"20738","10th Edition - Cloud Sprite (foil)","$0.79","8",""
"41669","10th Edition - Coat of Arms","$6.35","12",""
"20739","10th Edition - Coat of Arms (foil)","$7.47","8",""
"63750","10th Edition - Coat of Arms (played)","$5.40","12",""
"20740","10th Edition - Colossus of Sardia (foil)","$1.39","5",""
"20741","10th Edition - Commune with Nature (foil)","$0.33","7",""
"63752","10th Edition - Commune with Nature (played)","$0.06","6",""
"41672","10th Edition - Composite Golem","$0.19","6",""
"20742","10th Edition - Composite Golem (foil)","$0.55","6",""
"63753","10th Edition - Composite Golem (played)","$0.18","10",""
"41673","10th Edition - Condemn","$0.17","2",""
"20743","10th Edition - Condemn (foil)","$1.42","4",""
"63754","10th Edition - Condemn (played)","$0.16","6",""
"20744","10th Edition - Cone of Flame (foil)","$0.57","8",""
"41675","10th Edition - Consume Spirit","$0.18","14",""
"20745","10th Edition - Consume Spirit (foil)","$0.92","8",""
"20746","10th Edition - Contaminated Bond (foil)","$0.29","7",""
"20747","10th Edition - Counsel of the Soratami (foil)","$0.26","7",""
"63758","10th Edition - Counsel of the Soratami (played)","$0.04","2",""
"20748","10th Edition - Crafty Pathmage (foil)","$0.24","7",""
"20749","10th Edition - Craw Wurm (foil)","$0.26","7",""
"41680","10th Edition - Creeping Mold","$0.15","4",""
"20750","10th Edition - Creeping Mold (foil)","$0.64","4",""
"41681","10th Edition - Crucible of Worlds","$25.20","9",""
"20751","10th Edition - Crucible of Worlds (foil)","$49.46","6",""
"63762","10th Edition - Crucible of Worlds (played)","$21.95","8",""
"20752","10th Edition - Cruel Edict (foil)","$1.39","7",""
"63763","10th Edition - Cruel Edict (played)","$0.20","4",""
"20753","10th Edition - Cryoclasm (foil)","$0.65","8",""
"20754","10th Edition - Deathmark (foil)","$1.29","6",""
"20755","10th Edition - Dehydration (foil)","$0.24","8",""
